============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     INJ/USDT |        35 |           0.74 |          25.76 |           257.561 |           2.58 |         1:56:00 |    24     0    11  68.6 |
|    BAND/USDT |        18 |           1.10 |          19.83 |           198.258 |           1.98 |         1:09:00 |    14     0     4  77.8 |
|      OP/USDT |        17 |           1.05 |          17.83 |           178.301 |           1.78 |         1:56:00 |    13     0     4  76.5 |
|     GMT/USDT |        31 |           0.57 |          17.57 |           175.701 |           1.76 |         4:36:00 |    20     0    11  64.5 |
|     CVX/USDT |        15 |           1.17 |          17.52 |           174.721 |           1.75 |         4:18:00 |    12     0     3  80.0 |
|     C98/USDT |        12 |           1.34 |          16.05 |           160.489 |           1.60 |         1:18:00 |    10     0     2  83.3 |
|     FLM/USDT |         9 |           1.55 |          13.95 |           139.424 |           1.39 |         8:19:00 |     8     0     1  88.9 |
|    DOGE/USDT |        25 |           0.55 |          13.68 |           136.813 |           1.37 |         8:28:00 |    16     0     9  64.0 |
|     KSM/USDT |         8 |           1.49 |          11.95 |           119.305 |           1.19 |         8:42:00 |     7     0     1  87.5 |
|    IOTX/USDT |        12 |           0.99 |          11.85 |           118.504 |           1.19 |        10:17:00 |     9     0     3  75.0 |
|     LDO/USDT |        20 |           0.58 |          11.68 |           116.761 |           1.17 |         2:17:00 |    13     0     7  65.0 |
|     XEM/USDT |        13 |           0.80 |          10.35 |           103.471 |           1.03 |         6:54:00 |     9     0     4  69.2 |
|    CTSI/USDT |        15 |           0.67 |          10.02 |           100.184 |           1.00 |         4:54:00 |    10     0     5  66.7 |
|     BEL/USDT |        15 |           0.66 |           9.88 |            98.788 |           0.99 |         4:22:00 |    10     0     5  66.7 |
|    DUSK/USDT |        13 |           0.76 |           9.85 |            98.443 |           0.98 |         5:57:00 |     9     0     4  69.2 |
|     REN/USDT |        23 |           0.42 |           9.61 |            96.109 |           0.96 |         1:23:00 |    14     0     9  60.9 |
|     SFP/USDT |        19 |           0.46 |           8.75 |            87.496 |           0.87 |         2:35:00 |    12     0     7  63.2 |
|   STORJ/USDT |         8 |           0.99 |           7.95 |            79.475 |           0.79 |         0:47:00 |     6     0     2  75.0 |
|     KNC/USDT |        12 |           0.66 |           7.89 |            78.836 |           0.79 |         5:49:00 |     8     0     4  66.7 |
|    TOMO/USDT |        10 |           0.78 |           7.80 |            77.982 |           0.78 |         7:10:00 |     7     0     3  70.0 |
|     WOO/USDT |        24 |           0.31 |           7.38 |            73.828 |           0.74 |         3:05:00 |    14     0    10  58.3 |
|    CELO/USDT |        13 |           0.50 |           6.51 |            65.094 |           0.65 |         6:37:00 |     8     0     5  61.5 |
|     BAT/USDT |         3 |           2.00 |           6.01 |            60.100 |           0.60 |         5:12:00 |     3     0     0   100 |
|     GRT/USDT |         7 |           0.85 |           5.95 |            59.447 |           0.59 |         7:06:00 |     5     0     2  71.4 |
|     RVN/USDT |         7 |           0.85 |           5.95 |            59.433 |           0.59 |         5:25:00 |     5     0     2  71.4 |
|     ZEN/USDT |         7 |           0.85 |           5.94 |            59.396 |           0.59 |         7:30:00 |     5     0     2  71.4 |
|     ONE/USDT |         5 |           1.19 |           5.93 |            59.313 |           0.59 |         2:31:00 |     4     0     1  80.0 |
|     HOT/USDT |         9 |           0.65 |           5.88 |            58.832 |           0.59 |         3:37:00 |     6     0     3  66.7 |
|    RUNE/USDT |         9 |           0.65 |           5.88 |            58.708 |           0.59 |         8:15:00 |     6     0     3  66.7 |
| 1000XEC/USDT |         9 |           0.65 |           5.83 |            58.273 |           0.58 |        10:35:00 |     6     0     3  66.7 |
|     LPT/USDT |        15 |           0.39 |           5.82 |            58.115 |           0.58 |         3:50:00 |     9     0     6  60.0 |
|   OCEAN/USDT |        15 |           0.38 |           5.77 |            57.645 |           0.58 |         0:57:00 |     9     0     6  60.0 |
|    KAVA/USDT |        21 |           0.27 |           5.70 |            57.015 |           0.57 |         2:45:00 |    12     0     9  57.1 |
