============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     INJ/USDT |        42 |           0.47 |          19.62 |           196.720 |           1.97 |         2:10:00 |    26     0    16  61.9 |
|     WOO/USDT |        27 |           0.65 |          17.68 |           174.425 |           1.74 |         2:54:00 |    18     0     9  66.7 |
|     GMT/USDT |        37 |           0.48 |          17.60 |           165.249 |           1.65 |         6:17:00 |    23     0    14  62.2 |
|     SNX/USDT |        39 |           0.45 |          17.49 |           161.870 |           1.62 |         2:56:00 |    24     0    15  61.5 |
|     KNC/USDT |        16 |           0.99 |          15.91 |           146.133 |           1.46 |         4:19:00 |    12     0     4  75.0 |
|   OCEAN/USDT |        17 |           0.81 |          13.78 |           129.287 |           1.29 |         1:18:00 |    12     0     5  70.6 |
|     BNX/USDT |        46 |           0.29 |          13.27 |           126.805 |           1.27 |        12:49:00 |    27     0    19  58.7 |
|    KAVA/USDT |        18 |           0.66 |          11.79 |           116.828 |           1.17 |         2:14:00 |    12     0     6  66.7 |
|     LDO/USDT |        23 |           0.59 |          13.62 |           116.148 |           1.16 |         2:54:00 |    15     0     8  65.2 |
|     LIT/USDT |        50 |           0.22 |          10.94 |           110.627 |           1.11 |         2:30:00 |    28     0    22  56.0 |
|    ARPA/USDT |        32 |           0.36 |          11.56 |           107.738 |           1.08 |        10:07:00 |    19     0    13  59.4 |
|   WAVES/USDT |        60 |           0.18 |          11.00 |           104.663 |           1.05 |         6:51:00 |    33     0    27  55.0 |
|     KSM/USDT |         7 |           1.42 |           9.97 |           100.923 |           1.01 |         9:06:00 |     6     0     1  85.7 |
|      OP/USDT |        15 |           0.65 |           9.82 |            95.991 |           0.96 |         2:39:00 |    10     0     5  66.7 |
|  BTCDOM/USDT |        15 |           0.56 |           8.37 |            75.263 |           0.75 | 2 days, 0:57:00 |    10     0     5  66.7 |
|     UNI/USDT |        22 |           0.34 |           7.58 |            74.266 |           0.74 |         3:42:00 |    13     0     9  59.1 |
|    DOGE/USDT |        28 |           0.27 |           7.48 |            72.294 |           0.72 |         6:14:00 |    16     0    12  57.1 |
|    AAVE/USDT |        10 |           0.79 |           7.89 |            72.010 |           0.72 |         3:25:00 |     7     0     3  70.0 |
|    REEF/USDT |        57 |           0.12 |           6.81 |            70.686 |           0.71 |         3:37:00 |    30     0    27  52.6 |
|     OGN/USDT |         8 |           0.98 |           7.86 |            70.224 |           0.70 |         1:26:00 |     6     0     2  75.0 |
|     BAT/USDT |         4 |           1.62 |           6.48 |            59.930 |           0.60 |         4:40:00 |     4     0     0   100 |
|     YFI/USDT |        16 |           0.48 |           7.76 |            59.565 |           0.60 |         4:27:00 |    10     0     6  62.5 |
|     ZEN/USDT |         3 |           2.00 |           5.99 |            57.963 |           0.58 |         5:15:00 |     3     0     0   100 |
|   STORJ/USDT |         7 |           0.85 |           5.95 |            54.854 |           0.55 |         0:54:00 |     5     0     2  71.4 |
|     XEM/USDT |        13 |           0.45 |           5.87 |            50.017 |           0.50 |        12:41:00 |     8     0     5  61.5 |
|     CVX/USDT |        16 |           0.21 |           3.42 |            49.788 |           0.50 |         2:34:00 |     9     0     7  56.2 |
|     XLM/USDT |        13 |           0.45 |           5.81 |            49.149 |           0.49 |         5:17:00 |     8     0     5  61.5 |
|     SOL/USDT |        65 |           0.07 |           4.39 |            43.589 |           0.44 |         3:42:00 |    34     0    31  52.3 |
|    DYDX/USDT |        49 |           0.11 |           5.37 |            42.659 |           0.43 |         2:07:00 |    26     0    23  53.1 |
|     GRT/USDT |         8 |           0.48 |           3.87 |            40.815 |           0.41 |         2:55:00 |     5     0     3  62.5 |
|    EGLD/USDT |        22 |           0.17 |           3.64 |            38.580 |           0.39 |         6:11:00 |    12     0    10  54.5 |
|     XTZ/USDT |         4 |           0.97 |           3.89 |            36.921 |           0.37 |        11:00:00 |     3     0     1  75.0 |
|     FLM/USDT |         6 |           0.65 |           3.91 |            36.778 |           0.37 |         3:21:00 |     4     0     2  66.7 |
|     NKN/USDT |        24 |           0.15 |           3.52 |            36.695 |           0.37 |         3:11:00 |    13     0    11  54.2 |
|     TRX/USDT |        22 |           0.16 |           3.45 |            36.212 |           0.36 |        16:50:00 |    12     0    10  54.5 |
|     RSR/USDT |        37 |           0.12 |           4.35 |            33.842 |           0.34 |         3:03:00 |    20     0    17  54.1 |
|    DUSK/USDT |        10 |           0.38 |           3.84 |            32.916 |           0.33 |         6:32:00 |     6     0     4  60.0 |
|     BEL/USDT |        18 |           0.21 |           3.87 |            31.658 |           0.32 |         8:30:00 |    10     0     8  55.6 |
|     MTL/USDT |         6 |           0.66 |           3.96 |            31.339 |           0.31 |         4:38:00 |     4     0     2  66.7 |
|    KLAY/USDT |        16 |           0.23 |           3.68 |            30.043 |           0.30 |         1:52:00 |     9     0     7  56.2 |
|    ATOM/USDT |        24 |           0.15 |           3.59 |            29.550 |           0.30 |         5:05:00 |    13     0    11  54.2 |
|    COMP/USDT |         8 |           0.49 |           3.89 |            29.291 |           0.29 |         1:56:00 |     5     0     3  62.5 |
|     FTM/USDT |        12 |           0.31 |           3.78 |            27.349 |           0.27 |         3:02:00 |     7     0     5  58.3 |
|     BTC/USDT |        54 |           0.02 |           1.26 |            25.876 |           0.26 |        18:25:00 |    28     0    26  51.9 |
|    AVAX/USDT |        18 |           0.20 |           3.67 |            24.544 |           0.25 |         7:13:00 |    10     0     8  55.6 |
|     ZIL/USDT |         5 |           0.39 |           1.95 |            22.417 |           0.22 |        14:35:00 |     3     0     2  60.0 |
|     ZEC/USDT |        15 |           0.12 |           1.80 |            21.886 |           0.22 |         2:50:00 |     8     0     7  53.3 |
|    ANKR/USDT |         9 |           0.21 |           1.89 |            21.037 |           0.21 |         4:14:00 |     5     0     4  55.6 |
|    TOMO/USDT |        14 |           0.13 |           1.86 |            20.586 |           0.21 |         6:43:00 |     8     0     6  57.1 |
|     REN/USDT |        19 |           0.08 |           1.59 |            19.902 |           0.20 |         0:49:00 |    10     0     9  52.6 |
|     TRB/USDT |        21 |           0.08 |           1.61 |            18.525 |           0.19 |         3:42:00 |    11     0    10  52.4 |
|    IOTX/USDT |         7 |           0.26 |           1.82 |            17.937 |           0.18 |        12:30:00 |     4     0     3  57.1 |
|     LPT/USDT |         9 |           0.20 |           1.83 |            17.899 |           0.18 |         1:38:00 |     5     0     4  55.6 |
|     ONE/USDT |         1 |           2.00 |           2.00 |            17.614 |           0.18 |         0:05:00 |     1     0     0   100 |
|   SPELL/USDT |        13 |           0.14 |           1.81 |            16.920 |           0.17 |         5:46:00 |     7     0     6  53.8 |
|    UNFI/USDT |        23 |           0.07 |           1.53 |            11.161 |           0.11 |         2:35:00 |    12     0    11  52.2 |
|    BAND/USDT |        15 |           0.09 |           1.38 |            10.743 |           0.11 |         0:51:00 |     8     0     7  53.3 |
|    API3/USDT |         7 |           0.26 |           1.82 |             6.494 |           0.06 |         0:34:00 |     4     0     3  57.1 |
|    CTSI/USDT |         8 |          -0.01 |          -0.11 |             4.979 |           0.05 |         3:33:00 |     4     0     4  50.0 |
|   ALICE/USDT |         4 |           0.01 |           0.03 |             3.926 |           0.04 |         7:25:00 |     2     0     2  50.0 |
|    MANA/USDT |         6 |          -0.02 |          -0.12 |             2.642 |           0.03 |         2:49:00 |     3     0     3  50.0 |
|     NEO/USDT |         8 |          -0.01 |          -0.11 |             2.539 |           0.03 |        12:02:00 |     4     0     4  50.0 |
|     IMX/USDT |         7 |           0.04 |           0.26 |             2.315 |           0.02 |         1:34:00 |     4     0     3  57.1 |
|    SAND/USDT |         7 |           0.01 |           0.04 |             2.096 |           0.02 |         7:10:00 |     4     0     3  57.1 |
|     SFP/USDT |        25 |           0.02 |           0.58 |             1.699 |           0.02 |         2:26:00 |    13     0    12  52.0 |
|    DENT/USDT |         2 |          -0.03 |          -0.06 |             0.882 |           0.01 |         7:48:00 |     1     0     1  50.0 |
|    CELO/USDT |        10 |          -0.01 |          -0.08 |             0.841 |           0.01 |         2:08:00 |     5     0     5  50.0 |
|     HOT/USDT |         6 |          -0.02 |          -0.12 |             0.804 |           0.01 |         4:02:00 |     3     0     3  50.0 |
|    IOST/USDT |         2 |          -0.02 |          -0.04 |            -0.517 |          -0.01 |         2:50:00 |     1     0     1  50.0 |
|     RVN/USDT |         6 |          -0.01 |          -0.07 |            -2.205 |          -0.02 |         8:17:00 |     3     0     3  50.0 |
|   AUDIO/USDT |        10 |          -0.01 |          -0.11 |            -3.890 |          -0.04 |         2:28:00 |     5     0     5  50.0 |
|     SKL/USDT |         4 |          -0.01 |          -0.06 |            -4.217 |          -0.04 |         1:51:00 |     2     0     2  50.0 |
|    LINA/USDT |        16 |          -0.03 |          -0.47 |            -4.238 |          -0.04 |         1:44:00 |     8     0     8  50.0 |
|     C98/USDT |        14 |          -0.01 |          -0.20 |            -5.337 |          -0.05 |         2:17:00 |     7     0     7  50.0 |
|    RUNE/USDT |         4 |          -0.02 |          -0.08 |            -6.099 |          -0.06 |         5:59:00 |     2     0     2  50.0 |
| 1000XEC/USDT |         6 |          -0.02 |          -0.13 |            -8.265 |          -0.08 |         9:44:00 |     3     0     3  50.0 |
