============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     INJ/USDT |        34 |           0.45 |          15.25 |           204.770 |           2.05 |         2:16:00 |    21     0    13  61.8 |
|     LDO/USDT |        14 |           1.13 |          15.81 |           194.256 |           1.94 |         3:04:00 |    11     0     3  78.6 |
|     GMT/USDT |        24 |           0.66 |          15.73 |           185.197 |           1.85 |         5:41:00 |    16     0     8  66.7 |
|    UNFI/USDT |        15 |           0.92 |          13.80 |           178.374 |           1.78 |         3:15:00 |    11     0     4  73.3 |
|   WAVES/USDT |        43 |           0.31 |          13.28 |           165.968 |           1.66 |         4:27:00 |    25     0    18  58.1 |
|     KSM/USDT |         5 |           2.00 |          10.01 |           127.802 |           1.28 |        12:09:00 |     5     0     0   100 |
|    KLAY/USDT |        11 |           0.89 |           9.81 |           120.443 |           1.20 |         2:29:00 |     8     0     3  72.7 |
|     RSR/USDT |        22 |           0.35 |           7.63 |           105.141 |           1.05 |         2:45:00 |    13     0     9  59.1 |
|     WOO/USDT |        18 |           0.43 |           7.68 |           104.153 |           1.04 |         3:04:00 |    11     0     7  61.1 |
|    COMP/USDT |         8 |           0.99 |           7.93 |            95.065 |           0.95 |         2:56:00 |     6     0     2  75.0 |
|     TRB/USDT |        11 |           0.52 |           5.76 |            75.012 |           0.75 |         3:09:00 |     7     0     4  63.6 |
|    DOGE/USDT |        15 |           0.38 |           5.75 |            74.017 |           0.74 |         4:48:00 |     9     0     6  60.0 |
|     KNC/USDT |         9 |           0.66 |           5.94 |            71.791 |           0.72 |         6:19:00 |     6     0     3  66.7 |
|     CVX/USDT |         8 |           0.47 |           3.73 |            68.204 |           0.68 |         2:20:00 |     5     0     3  62.5 |
