============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     FTM/USDT |        20 |           1.39 |          27.84 |           278.369 |           2.78 |         3:08:00 |    17     0     3  85.0 |
|     LDO/USDT |        25 |           1.03 |          25.75 |           257.330 |           2.57 |         2:39:00 |    19     0     6  76.0 |
|    BAND/USDT |        18 |           1.33 |          23.87 |           238.662 |           2.39 |         1:10:00 |    15     0     3  83.3 |
|    RUNE/USDT |        20 |           1.19 |          23.76 |           237.462 |           2.37 |         5:21:00 |    16     0     4  80.0 |
|     KNC/USDT |        18 |           1.10 |          19.87 |           198.593 |           1.99 |         4:54:00 |    14     0     4  77.8 |
|    IOTX/USDT |        16 |           1.24 |          19.81 |           198.112 |           1.98 |         7:39:00 |    13     0     3  81.2 |
|      OP/USDT |        24 |           0.82 |          19.70 |           196.992 |           1.97 |         1:27:00 |    17     0     7  70.8 |
|     CVX/USDT |        24 |           0.82 |          19.63 |           195.702 |           1.96 |         3:45:00 |    17     0     7  70.8 |
|     BEL/USDT |        22 |           0.72 |          15.92 |           159.149 |           1.59 |        10:23:00 |    15     0     7  68.2 |
|     FLM/USDT |        18 |           0.88 |          15.79 |           157.880 |           1.58 |         7:07:00 |    13     0     5  72.2 |
|    CELO/USDT |        19 |           0.76 |          14.50 |           144.970 |           1.45 |         5:39:00 |    13     0     6  68.4 |
|    CTSI/USDT |        21 |           0.67 |          14.02 |           140.087 |           1.40 |         4:10:00 |    14     0     7  66.7 |
|    IOST/USDT |        13 |           1.07 |          13.91 |           139.092 |           1.39 |        11:58:00 |    10     0     3  76.9 |
|     RVN/USDT |        13 |           1.07 |          13.91 |           139.069 |           1.39 |         4:48:00 |    10     0     3  76.9 |
|     ZRX/USDT |        19 |           0.73 |          13.83 |           138.340 |           1.38 |         3:48:00 |    13     0     6  68.4 |
|     LPT/USDT |        15 |           0.92 |          13.82 |           138.166 |           1.38 |         2:34:00 |    11     0     4  73.3 |
