============================================================== BACKTESTING REPORT ==============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+------------------+-------------------------|
|    EGLD/USDT |         8 |           2.01 |          16.04 |           160.006 |           1.60 |         10:14:00 |     8     0     0   100 |
|     LDO/USDT |        11 |           1.45 |          15.92 |           159.091 |           1.59 |          2:08:00 |    10     0     1  90.9 |
|     BTC/USDT |        26 |           0.55 |          14.40 |           142.930 |           1.43 |  1 day, 12:15:00 |    20     0     6  76.9 |
|     IMX/USDT |         7 |           1.99 |          13.93 |           139.257 |           1.39 |          8:41:00 |     7     0     0   100 |
|    ALGO/USDT |         9 |           1.33 |          11.99 |           119.951 |           1.20 |          6:44:00 |     8     0     1  88.9 |
|     KNC/USDT |         6 |           2.00 |          11.98 |           119.734 |           1.20 |         12:44:00 |     6     0     0   100 |
|      OP/USDT |         9 |           1.33 |          11.94 |           119.412 |           1.19 |          4:38:00 |     8     0     1  88.9 |
|     FLM/USDT |         9 |           1.33 |          11.94 |           119.408 |           1.19 |          9:19:00 |     8     0     1  88.9 |
|     CTK/USDT |        12 |           0.98 |          11.78 |           117.749 |           1.18 |         19:15:00 |    10     0     2  83.3 |
|   LUNA2/USDT |        21 |           0.56 |          11.78 |           117.711 |           1.18 |          7:00:00 |    16     0     5  76.2 |
|    ARPA/USDT |        13 |           0.82 |          10.60 |           106.037 |           1.06 |          9:28:00 |    10     0     3  76.9 |
|     GRT/USDT |         5 |           2.01 |          10.04 |           100.381 |           1.00 |          7:51:00 |     5     0     0   100 |
|   JASMY/USDT |        14 |           0.72 |          10.03 |           100.280 |           1.00 |          4:34:00 |    11     0     3  78.6 |
|    SAND/USDT |         5 |           2.00 |           9.99 |            99.834 |           1.00 |         13:16:00 |     5     0     0   100 |
|     ATA/USDT |        11 |           0.90 |           9.93 |            99.268 |           0.99 |          3:55:00 |     9     0     2  81.8 |
|   OCEAN/USDT |         8 |           1.23 |           9.81 |            98.120 |           0.98 |          1:39:00 |     7     0     1  87.5 |
|   MATIC/USDT |        20 |           0.49 |           9.75 |            97.468 |           0.97 |          7:39:00 |    15     0     5  75.0 |
|     TRX/USDT |        14 |           0.69 |           9.68 |            96.850 |           0.97 |         12:09:00 |    11     0     3  78.6 |
|     INJ/USDT |        23 |           0.42 |           9.65 |            96.451 |           0.96 |          5:05:00 |    17     0     6  73.9 |
|    REEF/USDT |        27 |           0.35 |           9.43 |            94.352 |           0.94 |          5:52:00 |    19     0     8  70.4 |
|    ANKR/USDT |         4 |           2.01 |           8.02 |            80.251 |           0.80 |         10:14:00 |     4     0     0   100 |
|     ZEC/USDT |         7 |           1.14 |           7.99 |            79.879 |           0.80 |          8:14:00 |     6     0     1  85.7 |
|     RVN/USDT |         4 |           2.00 |           7.98 |            79.820 |           0.80 |          8:36:00 |     4     0     0   100 |
|     ICP/USDT |         4 |           1.99 |           7.98 |            79.564 |           0.80 |         20:20:00 |     4     0     0   100 |
| 1000XEC/USDT |         7 |           1.13 |           7.93 |            79.346 |           0.79 |         15:20:00 |     6     0     1  85.7 |
|     SKL/USDT |         4 |           1.98 |           7.93 |            79.297 |           0.79 |         14:11:00 |     4     0     0   100 |
|    NEAR/USDT |        16 |           0.49 |           7.83 |            78.205 |           0.78 |          8:38:00 |    12     0     4  75.0 |
|     ENS/USDT |        16 |           0.49 |           7.81 |            78.006 |           0.78 |          5:24:00 |    12     0     4  75.0 |
|     HNT/USDT |        13 |           0.60 |           7.81 |            77.773 |           0.78 |          8:52:00 |    10     0     3  76.9 |
|     AXS/USDT |         6 |           1.06 |           6.34 |            63.164 |           0.63 |         21:07:00 |     5     0     1  83.3 |
|    COMP/USDT |         6 |           1.02 |           6.09 |            60.892 |           0.61 |          4:37:00 |     5     0     1  83.3 |
|     HOT/USDT |         3 |           2.01 |           6.02 |            60.206 |           0.60 |          5:13:00 |     3     0     0   100 |
|     KSM/USDT |         6 |           0.99 |           5.97 |            59.591 |           0.60 |         14:24:00 |     5     0     1  83.3 |
|     XTZ/USDT |         6 |           0.99 |           5.96 |            59.589 |           0.60 |         15:38:00 |     5     0     1  83.3 |
|    CTSI/USDT |         6 |           0.99 |           5.94 |            59.436 |           0.59 |          7:12:00 |     5     0     1  83.3 |
|    DUSK/USDT |         6 |           0.99 |           5.93 |            59.275 |           0.59 |          8:12:00 |     5     0     1  83.3 |
|     SNX/USDT |        18 |           0.33 |           5.92 |            59.162 |           0.59 |          6:51:00 |    13     0     5  72.2 |
|    ATOM/USDT |        12 |           0.49 |           5.91 |            59.076 |           0.59 |          7:06:00 |     9     0     3  75.0 |
|     YFI/USDT |         6 |           0.99 |           5.93 |            59.001 |           0.59 |          6:08:00 |     5     0     1  83.3 |
|     XLM/USDT |         8 |           0.50 |           4.03 |            40.294 |           0.40 |         18:41:00 |     6     0     2  75.0 |
|     BAT/USDT |         2 |           2.00 |           4.00 |            39.991 |           0.40 |          1:32:00 |     2     0     0   100 |
|     GAL/USDT |         2 |           2.00 |           3.99 |            39.892 |           0.40 |         10:02:00 |     2     0     0   100 |
|    CELR/USDT |         2 |           1.99 |           3.98 |            39.800 |           0.40 |          4:22:00 |     2     0     0   100 |
|   STORJ/USDT |         2 |           1.99 |           3.97 |            39.707 |           0.40 |          5:40:00 |     2     0     0   100 |
|     LPT/USDT |         5 |           0.79 |           3.96 |            39.552 |           0.40 |          1:38:00 |     4     0     1  80.0 |
|     APE/USDT |        11 |           0.35 |           3.89 |            38.826 |           0.39 |          4:18:00 |     8     0     3  72.7 |
|    DYDX/USDT |        20 |           0.19 |           3.81 |            38.065 |           0.38 |          4:26:00 |    14     0     6  70.0 |
|    DOGE/USDT |        11 |           0.35 |           3.80 |            38.042 |           0.38 |         11:29:00 |     8     0     3  72.7 |
|     UNI/USDT |        17 |           0.22 |           3.79 |            37.874 |           0.38 |         10:52:00 |    12     0     5  70.6 |
|    UNFI/USDT |        17 |           0.22 |           3.73 |            37.269 |           0.37 |          4:19:00 |    12     0     5  70.6 |
|  BTCDOM/USDT |         5 |           0.64 |           3.18 |            31.797 |           0.32 |  5 days, 6:45:00 |     4     0     1  80.0 |
|   WAVES/USDT |        36 |           0.08 |           2.91 |            29.031 |           0.29 |         12:59:00 |    24     0    12  66.7 |
|     CVX/USDT |         7 |           0.31 |           2.15 |            21.284 |           0.21 |         12:19:00 |     5     0     2  71.4 |
|     BEL/USDT |        10 |           0.21 |           2.09 |            20.899 |           0.21 |         13:10:00 |     7     0     3  70.0 |
|     ONT/USDT |         1 |           2.03 |           2.03 |            20.310 |           0.20 |  1 day, 21:50:00 |     1     0     0   100 |
|     ONE/USDT |         1 |           2.00 |           2.00 |            20.000 |           0.20 |          0:05:00 |     1     0     0   100 |
|    AVAX/USDT |         4 |           0.49 |           1.95 |            19.957 |           0.20 |         10:41:00 |     3     0     1  75.0 |
|     OMG/USDT |         1 |           2.00 |           2.00 |            19.947 |           0.20 |         13:20:00 |     1     0     0   100 |
|     ZRX/USDT |         1 |           1.96 |           1.96 |            19.604 |           0.20 |          4:30:00 |     1     0     0   100 |
|     CHR/USDT |         4 |           0.49 |           1.96 |            19.598 |           0.20 |         22:49:00 |     3     0     1  75.0 |
|     MTL/USDT |         7 |           0.28 |           1.95 |            19.465 |           0.19 |          7:59:00 |     5     0     2  71.4 |
|      AR/USDT |        19 |           0.09 |           1.76 |            17.672 |           0.18 |          5:52:00 |    13     0     6  68.4 |
|    STMX/USDT |         4 |           0.43 |           1.72 |            17.181 |           0.17 |         10:30:00 |     3     0     1  75.0 |
|     ADA/USDT |        16 |           0.10 |           1.67 |            16.750 |           0.17 |         12:53:00 |    11     0     5  68.8 |
