============================================================== BACKTESTING REPORT ==============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+------------------+-------------------------|
|   LUNA2/USDT |        20 |           1.40 |          27.92 |           278.912 |           2.79 |          8:39:00 |    18     0     2  90.0 |
|     KNC/USDT |        12 |           2.00 |          23.96 |           239.463 |           2.39 |          9:17:00 |    12     0     0   100 |
|     XEM/USDT |        15 |           1.60 |          23.94 |           239.403 |           2.39 |         16:58:00 |    14     0     1  93.3 |
|    DUSK/USDT |        11 |           1.99 |          21.94 |           219.442 |           2.19 |         10:35:00 |    11     0     0   100 |
|     XLM/USDT |        13 |           1.54 |          20.05 |           200.470 |           2.00 |         14:39:00 |    12     0     1  92.3 |
|     YFI/USDT |        13 |           1.53 |          19.90 |           198.394 |           1.98 |          5:25:00 |    12     0     1  92.3 |
|    RUNE/USDT |         9 |           2.00 |          18.00 |           179.920 |           1.80 |          4:43:00 |     9     0     0   100 |
|     GAL/USDT |         9 |           2.00 |          18.00 |           179.871 |           1.80 |          3:13:00 |     9     0     0   100 |
|     LDO/USDT |        18 |           0.99 |          17.76 |           177.523 |           1.78 |          1:56:00 |    15     0     3  83.3 |
|    ALGO/USDT |        11 |           1.45 |          15.96 |           159.670 |           1.60 |          8:51:00 |    10     0     1  90.9 |
|   AUDIO/USDT |        11 |           1.45 |          15.94 |           159.412 |           1.59 |          6:48:00 |    10     0     1  90.9 |
|    EGLD/USDT |        11 |           1.45 |          15.98 |           159.390 |           1.59 |          9:05:00 |    10     0     1  90.9 |
|    REEF/USDT |        17 |           0.93 |          15.74 |           157.403 |           1.57 |          3:47:00 |    14     0     3  82.4 |
|     REN/USDT |        19 |           0.82 |          15.67 |           156.663 |           1.57 |          1:49:00 |    15     0     4  78.9 |
|    CTSI/USDT |        10 |           1.40 |          13.97 |           139.647 |           1.40 |          6:18:00 |     9     0     1  90.0 |
|      OP/USDT |        13 |           1.07 |          13.96 |           139.563 |           1.40 |          5:07:00 |    11     0     2  84.6 |
|    ATOM/USDT |        10 |           1.39 |          13.93 |           139.296 |           1.39 |         12:38:00 |     9     0     1  90.0 |
