============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|-------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|   MASK/USDT |        17 |           1.64 |          27.92 |            29.532 |           2.95 |         5:04:00 |    16     0     1  94.1 |
|    NKN/USDT |        16 |           1.63 |          26.04 |            28.074 |           2.81 |         5:43:00 |    15     0     1  93.8 |
|    ZEN/USDT |        13 |           2.00 |          26.01 |            27.490 |           2.75 |         4:11:00 |    13     0     0   100 |
|    SFP/USDT |        18 |           1.33 |          23.94 |            24.421 |           2.44 |         8:02:00 |    16     0     2  88.9 |
| PEOPLE/USDT |        22 |           0.90 |          19.90 |            21.845 |           2.18 |         5:04:00 |    18     0     4  81.8 |
|    REN/USDT |        16 |           1.25 |          19.94 |            21.642 |           2.16 |         4:23:00 |    14     0     2  87.5 |
|    DGB/USDT |        16 |           1.24 |          19.91 |            21.301 |           2.13 |         6:23:00 |    14     0     2  87.5 |
|   ANKR/USDT          9 |           2.01 |          18.08 |            20.972 |           2.10 |         4:25:00 |     9     0     0   100 |
|  STORJ/USDT |         8 |           1.99 |          15.93 |            17.468 |           1.75 |         8:03:00 |     8     0     0   100 |
|    KNC/USDT |        19 |           0.72 |          13.76 |            17.379 |           1.74 |         7:50:00 |    15     0     4  78.9 |
|   LINK/USDT |        11 |           1.45 |          15.97 |            17.245 |           1.72 |         8:15:00 |    10     0     1  90.9 |
|   STMX/USDT |        17 |           0.93 |          15.84 |            17.000 |           1.70 |        11:14:00 |    14     0     3  82.4 |
|    SOL/USDT |        18 |           0.99 |          17.84 |            16.634 |           1.66 |         4:40:00 |    15     0     3  83.3 |
|   IOST/USDT |         7 |           2.03 |          14.19 |            15.405 |           1.54 |        14:11:00 |     7     0     0   100 |
|    DOT/USDT |        13 |           1.07 |          13.95 |            14.930 |           1.49 |         7:39:00 |    11     0     2  84.6 |
|    BTC/USDT |        18 |           0.88 |          15.81 |            14.781 |           1.48 |  1 day, 5:02:00 |    15     0     3  83.3 |
|    XEM/USDT |        17 |           0.74 |          12.62 |            13.907 |           1.39 |         9:14:00 |    13     0     4  76.5 |
|   DENT/USDT |        12 |           0.99 |          11.92 |            13.454 |           1.35 |         6:55:00 |    10     0     2  83.3 |
|    GTC/USDT |        12 |           0.99 |          11.90 |            12.354 |           1.24 |         3:52:00 |    10     0     2  83.3 |
|    BLZ/USDT |        14 |           0.71 |           9.89 |            11.880 |           1.19 |         3:28:00 |    11     0     3  78.6 |
|    TRX/USDT |        17 |           0.59 |          10.04 |            11.553 |           1.16 | 1 day, 13:34:00 |    13     0     4  76.5 |
|    BEL/USDT |        14 |           0.70 |           9.83 |            11.129 |           1.11 |         3:58:00 |    11     0     3  78.6 |
|    DAR/USDT |         8 |           1.25 |           9.99 |            10.913 |           1.09 |         6:28:00 |     7     0     1  87.5 |
|    CHR/USDT |        10 |           0.80 |           7.98 |            10.409 |           1.04 |         6:44:00 |     8     0     2  80.0 |
|    HOT/USDT |         5 |           2.01 |          10.03 |            10.406 |           1.04 |         7:45:00 |     5     0     0   100 |
|    APE/USDT |        20 |           0.49 |           9.71 |            10.112 |           1.01 |         5:03:00 |    15     0     5  75.0 |
